ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,GRAV_X,GRAV_Y,GRAV_Z,LINACC_X,LINACC_Y,LINACC_Z,ROTVEC_X,ROTVEC_Y,ROTVEC_Z,TIME,CLASS
0.102387086,0.67988616,9.35779,-0.008522116,-0.044741105,-0.015978966,0.13711487,0.6939569,9.784403,-0.034727782,-0.01407074,-0.42661285,0.03525966,-0.0076698205,-0.01913259,11477130074475,Still
0.11002121,0.6737489,9.386381,-0.008522116,-0.043675844,-0.015978966,0.1366658,0.6941066,9.784403,-0.026644593,-0.020357667,-0.3980223,0.03526283,-0.007653212,-0.019132834,11477180074475,Still
0.13337265,0.6969507,9.363329,-0.007456851,-0.04261058,-0.017044231,0.1366658,0.6939569,9.784403,-0.003293152,0.0029937744,-0.42107436,0.035254195,-0.0076520294,-0.019135028,11477230074475,Still
0.14504836,0.7033873,9.386531,-0.007456851,-0.04580637,-0.01917476,0.13711487,0.6942563,9.784403,0.007933502,0.009131012,-0.39787263,0.035270438,-0.0076735746,-0.019132145,11477280074475,Still
0.13202545,0.6908134,9.411978,-0.007456851,-0.044741105,-0.014913702,0.13786331,0.69455564,9.784253,-0.00583786,-0.003742218,-0.37227586,0.035289843,-0.0077129733,-0.01912833,11477330074475,Still
0.13247451,0.6885681,9.392668,-0.0063915867,-0.044741105,-0.015978966,0.138013,0.6953041,9.784253,-0.0055384827,-0.0067359926,-0.3915857,0.03532676,-0.007718105,-0.01913097,11477380074475,Still
0.12588821,0.6762936,9.376801,-0.007456851,-0.043675844,-0.018109495,0.13876145,0.69575316,9.784253,-0.01287323,-0.019459534,-0.4074527,0.03534694,-0.0077565713,-0.019137995,11477430074475,Still
0.11451187,0.6478528,9.33399,-0.007456851,-0.04261058,-0.017044231,0.13861175,0.6951544,9.784253,-0.024099885,-0.047301635,-0.45026368,0.035315253,-0.007748802,-0.019134665,11477480074475,Still
0.13741425,0.6752458,9.4015,-0.008522116,-0.043675844,-0.015978966,0.13816269,0.6951544,9.784253,-7.484436E-4,-0.0199086,-0.38275406,0.03532003,-0.0077311825,-0.019130014,11477530074475,Still
0.17932709,0.66536635,9.389375,-0.00958738,-0.044741105,-0.015978966,0.1393602,0.69470537,9.784253,0.03996689,-0.02933899,-0.39487883,0.03529019,-0.0077857086,-0.019128274,11477580074475,Still
0.1420546,0.6915619,9.373657,-0.008522116,-0.043675844,-0.014913702,0.13995895,0.6942563,9.784253,0.002095642,-0.002694397,-0.41059616,0.035268776,-0.007817813,-0.01912697,11477630074475,Still
0.041912843,0.67225206,9.336085,-0.007456851,-0.043675844,-0.018109495,0.13846207,0.69350785,9.784403,-0.09654923,-0.021255799,-0.4483177,0.035231356,-0.0077390624,-0.019135118,11477680074475,Still
0.123193815,0.73751634,9.416169,-0.007456851,-0.044741105,-0.017044231,0.13741425,0.6951544,9.784253,-0.014220429,0.042361908,-0.36808455,0.035314508,-0.007690398,-0.019131789,11477730074475,Still
0.11795471,0.6557863,9.3872795,-0.007456851,-0.046871636,-0.020240024,0.13816269,0.6959029,9.784253,-0.020207977,-0.04011658,-0.39697447,0.035351824,-0.007729821,-0.019149724,11477780074475,Still
0.13322297,0.6632707,9.37695,-0.007456851,-0.046871636,-0.017044231,0.13980927,0.6959029,9.784253,-0.006586304,-0.032632142,-0.407303,0.03535287,-0.007813392,-0.019133864,11477830074475,Still
0.1074765,0.64440995,9.357042,-0.008522116,-0.04580637,-0.017044231,0.1405577,0.69485503,9.784253,-0.033081207,-0.0504451,-0.4272116,0.035297915,-0.007846132,-0.019126117,11477880074475,Still
0.18097366,0.7354207,9.352851,-0.0063915867,-0.044741105,-0.018109495,0.14145584,0.6953041,9.784253,0.039517824,0.04011658,-0.4314029,0.03532108,-0.007892,-0.01912465,11477930074475,Still
0.08786728,0.64186525,9.394913,-0.007456851,-0.043675844,-0.014913702,0.14145584,0.6953041,9.784253,-0.05358856,-0.053438872,-0.38934037,0.035319954,-0.007893124,-0.019116487,11477980074475,Still
0.07364685,0.66506696,9.388177,-0.007456851,-0.04580637,-0.015978966,0.13906083,0.69380724,9.784403,-0.065413974,-0.028740235,-0.39622605,0.035249777,-0.007773958,-0.019131262,11478030074475,Still
0.21974304,0.72703815,9.385782,-0.0063915867,-0.04580637,-0.014913702,0.14100677,0.6942563,9.784253,0.07873627,0.03278183,-0.3984714,0.035269555,-0.007869475,-0.019122897,11478080074475,Still
0.12858261,0.67614394,9.379046,-0.0063915867,-0.043675844,-0.018109495,0.14250366,0.6954538,9.784253,-0.013921051,-0.019309845,-0.40520737,0.035326257,-0.007951709,-0.019122569,11478130074475,Still
